slug,name,fieldGroup,field,yearPosed,solveDate,model,modelMaker,aiContribution,resolutionMethod,verification,verification_route,lean_status,auto_tag,manual_verdict,significance,solveType,publication,harness_keyword_hits,think_hard_keyword_hits,trial_mentions,manual_rationale,sourceUrl
petersen-coloring-conjecture,Petersen Coloring Conjecture,Combinatorics,Graph theory,1985,2026-07-23,ChatGPT,OpenAI,ai-co-developed,construction,site-confirmed,site-reproduced,no-mention,harness-signal,vague-disclosure,40,disproved,preprint,search,,,"Boilerplate provenance statement (""used extensively in discovery, computational search, verification, and preparation"") with no model name/version/division of labor given - genuinely can't classify discovery mode from this text. Notable as a case study in unhelpful AI-usage disclosure. Also: not the first disproof of this conjecture - a different 68-vertex counterexample by a different author/model surfaced 16 days earlier.",https://arxiv.org/abs/2608.10012
vandermonde-powers-non-snp,Powers of the Vandermonde Determinant Are Eventually Non-SNP,Combinatorics,Algebraic combinatorics,2017,2026-07-26,Codex (GPT-5.6 Sol Extra High),OpenAI,ai-discovered,construction,unreviewed,unreviewed-construction/computation,mentioned-not-tiered,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2607.23828
ramsey-hypergraph-hn-bound,Ramsey-Style Hypergraph Partition Bound H(n),Combinatorics,Extremal combinatorics,2019,2026-03-24,GPT-5.4 Pro,OpenAI,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,10,proved,announcement,,,,,https://epoch.ai/frontiermath/open-problems/ramsey-hypergraphs
order-dimension-beyond-rank-simplicial-arrangements,Reading's Problem 9.3: Order Dimension Versus Rank for Simplicial Arrangements,Combinatorics,Posets / hyperplane arrangements,2016,2026-08-14,ChatGPT 5.6 Sol Ultra,OpenAI,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,15,disproved,preprint,,,,,https://arxiv.org/abs/2608.14092
averkov-hofscheier-nill-h-star-real-rootedness,Real-Rootedness of Ehrhart h*-Polynomials at Large Width,Combinatorics,Polyhedral combinatorics,,2026-08-04,ChatGPT 5.6 Sol,OpenAI,ai-discovered,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2608.03635
record-compositions-alternating-permutations,Record Compositions of Alternating Permutations,Combinatorics,"Enumerative Combinatorics, Symmetric Functions",,2026-07-14,AxiomProver,,ai-discovered,argument,unreviewed,unreviewed-argument,mentioned-not-tiered,harness-signal,,20,proved,preprint,autonomous,,,,https://arxiv.org/abs/2607.12873
rectangles-triangles-lattice-sets,Rectangles versus Isosceles Triangles in Lattice Sets,Combinatorics,Combinatorial geometry,,2026-06-29,ChatGPT 5.5 Pro,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,15,disproved,preprint,repeat,,,,https://arxiv.org/abs/2606.30178
rota-matroid-flat-unimodality,Rota's Unimodality Conjecture for Matroid Flats,Combinatorics,Matroid theory,1970,2026-07-24,ChatGPT-5.6 Pro,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,36,disproved,preprint,,,,,https://arxiv.org/abs/2607.22515
sabidussi-compatibility,Sabidussi's Compatibility Conjecture,Combinatorics,Graph theory,,2026-07-14,"GPT-5.6 Pro, GPT-5.6 Sol",OpenAI,ai-co-developed,argument,lean-verified,lean,tiered-lean-verified,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2607.13225
score-determined-induced-tournament-statistics-an-all-orders-classification-and-,Score-Determined Induced Tournament Statistics: an All-Orders Classification,Combinatorics,Tournament theory,,2026-08-14,GPT Sol 5.6,OpenAI,ai-discovered,computation,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,3,proved,preprint,,,,,https://doi.org/10.5281/zenodo.21959291
line-graph-signature-unbounded,Signature of Connected Line Graphs,Combinatorics,Spectral graph theory,2026,2026-07-30,"ChatGPT-5.6 Pro, Claude Fable 5",OpenAI / Anthropic,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,4,disproved,preprint,search,,,,https://arxiv.org/abs/2607.22874
simon-extendable-shellability,Simon's Extendable Shellability Conjecture,Combinatorics,Combinatorial topology,1994,2026-05-23,ChatGPT 5.5,OpenAI,ai-co-developed,construction,site-confirmed,site-reproduced,no-mention,no-signal,,25,disproved,preprint,,,,,https://arxiv.org/abs/2605.24732
sivaraman-perfect-divisibility-question-p17,Sivaraman's Perfect-Divisibility Characterization Question,Combinatorics,Graph theory - chi-boundedness,2026,2026-08-14,ChatGPT,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,4,disproved,preprint,,,,,https://arxiv.org/abs/2608.14519
stanley-claw-free-schur-positivity,Stanley's Claw-Free Schur-Positivity Conjecture,Combinatorics,Algebraic combinatorics,1995,2026-07-23,ChatGPT-5.6 Sol Pro,OpenAI,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,25,disproved,preprint,,,,,https://arxiv.org/abs/2607.21508
stanley-problem-4-differential-posets,Stanley's Problem 4 on Differential Posets,Combinatorics,Differential posets,1988,2026-07-28,TARS agent system,,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,15,disproved,preprint,agent,,,,https://arxiv.org/abs/2607.24541
stanley-differential-poset-rank-bound,Stanley's Rankwise Lower-Bound Conjecture for Differential Posets,Combinatorics,Differential posets,1988,2026-07-28,TARS agent system,,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,15,disproved,preprint,agent; autonomous; search,,,,https://arxiv.org/abs/2607.22988
strong-graph-reconstruction-conjecture,Strong Graph Reconstruction Conjecture,Combinatorics,Graph theory - reconstruction,2010,2026-08-12,gpt-5.6-sol,,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,20,disproved,preprint,search,,,,https://arxiv.org/abs/2608.11930
teschner-s-bondage-number-conjecture,Teschner's Bondage-Number Conjecture,Combinatorics,Graph theory — domination theory,1995,2026-08-10,GPT-5.6 Sol Max,OpenAI,ai-discovered,construction,site-confirmed,site-reproduced,no-mention,harness-signal,,15,disproved,preprint,enumerat; search,,,,https://doi.org/10.6084/m9.figshare.33198777
anstee-sali-conjecture,The Anstee-Sali Conjecture on Forbidden Configurations,Combinatorics,Extremal set theory,2005,2026-08-07,GPT-5.6 Sol,OpenAI,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,20,disproved,preprint,repeat,,,,https://arxiv.org/abs/2608.07646
bandelt-dress-quartet-distance,The Bandelt-Dress Quartet Distance Conjecture,Combinatorics,Combinatorics,1986,2026-08-04,GPT-5.6,OpenAI,ai-discovered,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2608.03542
chen-lawrencenko-conjectures,The Chen-Lawrencenko Conjectures on Cyclic Colorations,Combinatorics,Topological graph theory,1999,2026-08-07,GPT-5.6 Pro,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,12,disproved,preprint,,,,,https://arxiv.org/abs/2608.06863
covering-number-c-12-6-4,"The Covering Number $C(12,6,4)$",Combinatorics,Design theory,,2026-07-26,"GPT-5.6 Sol, GPT-5.6 Terra, Claude Fable 5",OpenAI / Anthropic,ai-assisted,computation,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,10,proved,preprint,search,,,,https://arxiv.org/abs/2607.23766
coxeter-code-minimum-distance,The Coxeter Code Minimum Distance Conjecture,Combinatorics,Coding theory,2025,2026-07-12,"ChatGPT-5.4, Claude Sonnet 4.6",OpenAI / Anthropic,ai-assisted,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,7,proved,preprint,,,,,https://arxiv.org/abs/2607.10774
erdos-sos-pairwise-sums-5-8,The Erdos-Sos Pairwise-Sums Problem,Combinatorics,Additive combinatorics,,2026-06-28,"GPT-5.5 Pro, Aristotle",OpenAI / Harmonic,ai-co-developed,argument,lean-verified,lean,tiered-lean-verified,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2606.29361
escobar-klein-weigandt-cohen-macaulay-asm,The Escobar-Klein-Weigandt Conjecture on Cohen-Macaulay ASM Varieties,Combinatorics,Algebraic combinatorics,,2026-05-08,ChatGPT 5.4 Pro,OpenAI,ai-discovered,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2605.08033
frankl-peng-rodl-talbot-turan-intervals,The Frankl-Peng-Rodl-Talbot Question on Turan Density Intervals,Combinatorics,Extremal combinatorics,2007,2026-05-25,"ChatGPT 5.4 Pro, ChatGPT 5.4 Thinking",OpenAI,ai-assisted,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,25,proved,preprint,,,,,https://arxiv.org/abs/2605.25914
hamaker-reiner-asm-weak-order-topology,The Hamaker-Reiner Conjecture on ASM Weak Order Intervals,Combinatorics,Poset topology,,2026-05-08,ChatGPT 5.4 Pro,OpenAI,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,15,disproved,preprint,autonomous,,,,https://arxiv.org/abs/2605.08033
kozerenko-skochko-imbalance-conjecture,The Imbalance Conjecture,Combinatorics,Graph theory,2013,2026-08-10,GPT-5.6 Sol Max,OpenAI,ai-discovered,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,10,proved,preprint,,,,,https://arxiv.org/abs/2608.09191
integer-domination-root-conjecture,The Integer Domination Root Conjecture,Combinatorics,Graph polynomials,2010,2026-07-31,Claude Fable 5,Anthropic,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,11,disproved,preprint,enumerat,,,,https://arxiv.org/abs/2608.00109
sum-free-lattice-cube-density,The Largest Sum-Free Subset of the Lattice Cube,Combinatorics,Additive combinatorics,,2026-05-01,ChatGPT 5.4,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,30,proved,preprint,,,,,https://arxiv.org/abs/2605.00816
davenport-schinzel-leading-constant,The Leading Constant for Large-Order Davenport-Schinzel Sequences,Combinatorics,Extremal combinatorics,,2026-02-17,"Claude 4.6, GPT 5.2","Anthropic, OpenAI",ai-assisted,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,12,proved,preprint,,,,,https://arxiv.org/abs/2602.15375
chip-firing-middle-stair,The Middle Stair of Parallel Chip-Firing,Combinatorics,Combinatorial dynamics,2024,2026-08-04,GPT-5.6 Sol,OpenAI,ai-discovered,argument,expert-verified,expert-read,no-mention,no-signal,think-hard-argument-expert-verified,12,proved,preprint,,,,Paper states plainly the LLM found the Section 3 proof; authors verified and take responsibility. No search/harness language anywhere. Textbook target case.,https://arxiv.org/abs/2608.04153
mihail-vazirani-conjecture,The Mihail-Vazirani Conjecture,Combinatorics,Polyhedral combinatorics,,2026-08-03,GPT-5.6 Sol,OpenAI,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,think-hard-signal,think-hard-construction-unreviewed,30,disproved,preprint,,one-shot,,"Explicit: ""generated by GPT-5.6 Sol in a one-shot manner"" (construction, not proof-argument). Reused the same prompt template as the Cycle Double Cover run (see cycle-double-cover-conjecture) but here run once, not as a 64-subagent harness - same underlying prompt, opposite discovery mode.",https://arxiv.org/abs/2608.01870
elekes-ronyai-expander-conjecture,The Near-Quadratic Elekes-Ronyai Expander Conjecture,Combinatorics,Additive combinatorics,2000,2026-06-15,"ChatGPT 5.5 Pro, Rethlas",OpenAI / Frenzy Math,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,25,disproved,preprint,,,,,https://arxiv.org/abs/2606.16738
jungic-rainbow-ap-order,The Order of Long Rainbow Arithmetic Progressions,Combinatorics,Ramsey theory,2003,2026-07-16,"Codex (GPT-5.6), Claude Code (Fable 5)",OpenAI / Anthropic,ai-assisted,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,20,disproved,preprint,,,,,https://arxiv.org/abs/2607.15116
permutations-fixing-k-set,The Proportion of Permutations Fixing a k-Set,Combinatorics,Permutation combinatorics,,2026-04-30,"GPT o4-mini, ChatGPT Pro 5.4",OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2604.28116
schwartz-quadratic-meander-number,The Schwartz Quadratic Meander Number Conjecture,Combinatorics,Combinatorics,,2026-06-10,"ChatGPT 5.5, Claude Opus 4.7, Gemini 3.1",OpenAI / Anthropic / Google,ai-assisted,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,10,proved,preprint,search,,,,https://arxiv.org/abs/2606.12331
simonovits-product-conjecture,The Simonovits Product Conjecture,Combinatorics,Extremal graph theory,,2026-08-03,GPT-5.6 Sol,OpenAI,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,18,disproved,preprint,,,,,https://arxiv.org/abs/2608.02115
davenport-constant-heisenberg-125,The Small Davenport Constant of the Heisenberg Group of Order 125,Combinatorics,"Additive Combinatorics, Zero-Sum Theory",,2026-07-15,Claude + GPT-5,,ai-discovered,computation,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,10,proved,preprint,pruning; search,,,,https://arxiv.org/abs/2607.14379
sum-product-conjecture-reals,The Sum-Product Conjecture over the Reals,Combinatorics,Additive combinatorics,1983,2026-05-27,GPT-5.5 Pro,OpenAI,ai-assisted,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,minimal-ai-contribution,55,disproved,preprint,,,,"Authors state plainly: the final proof and all main ideas are almost entirely human-generated; the model's sole contribution was one simplifying lemma (replacing a Schinzel result). Worth flagging as a case where ""AI-discovered"" framing (if VibeMathed's field says that) may overstate the AI's actual role versus the authors' own account.",https://arxiv.org/abs/2605.28781
target-free-clique-conjecture,The Target-Free Clique Conjecture for Threshold-Linear Networks,Combinatorics,Mathematical neuroscience,2019,2026-07-23,"Codex (GPT-5.6), Claude Code (Opus 4.8, Fable 5)",OpenAI / Anthropic,ai-assisted,construction,site-confirmed,site-reproduced,no-mention,no-signal,,10,disproved,preprint,,,,,https://arxiv.org/abs/2607.21396
tree-product-conjecture,The Tree Product Conjecture,Combinatorics,Structural graph theory,2022,2026-07-03,ChatGPT 5.5 Pro,OpenAI,ai-assisted,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,15,disproved,preprint,,,,,https://arxiv.org/abs/2607.03041
tu-deng-conjecture,The Tu-Deng Conjecture,Combinatorics,Boolean functions; combinatorial number theory,2011,2026-07-30,ChatGPT 5.6 Pro,OpenAI,ai-assisted,argument,lean-checked,lean,tiered-lean-checked,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2608.05187
tournaments-three-five-voters,Tournaments Determined by Three and Five Voters,Combinatorics,"Social Choice, Tournaments",,2026-07-29,Claude,Anthropic,ai-assisted,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,10,disproved,preprint,,,,,https://arxiv.org/abs/2607.26690
treglown-equitable-acyclic-colouring-conjecture,Treglown's equitable acyclic colouring conjecture,Combinatorics,Graph theory,,2026-08-12,ChatGPT 5.6 Sol,OpenAI,ai-discovered,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,15,proved,preprint,search,,,,https://arxiv.org/abs/2608.12207
txgraffiti-davila-conjecture-9,TxGraffiti-Davila Conjecture 9,Combinatorics,Graph domination & zero forcing,2024,2026-06-12,Demonstrandum multi-agent pipeline,,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,5,disproved,announcement,agent; pipeline,,,,https://github.com/demonstrandum-research/artifacts
uniform-witnesses-k3-question,Uniform Witnesses for Uniform Set Systems: the k=3 Question,Combinatorics,Extremal set theory,2026,2026-03,ChatGPT 5.4 Pro,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,8,proved,preprint,,,,,https://arxiv.org/abs/2602.17459
kazhdan-lusztig-matroids-unimodality,Unimodality of Kazhdan-Lusztig Polynomials of Matroids,Combinatorics,Algebraic combinatorics,2017,2026-07-27,Rethlas agent (GPT-5.6 Sol),,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,25,disproved,preprint,agent; search,,,,https://arxiv.org/abs/2607.24186
white-s-conjecture-on-matroids,White's Conjecture on Matroids,Combinatorics,Matroid theory,1980,2026-07-02,"ChatGPT-5.5 Pro, Claude Opus 4.8",OpenAI; Anthropic,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,iterative-human-guided,40,disproved,preprint,,,,"Author iteratively prompted across ranks 5,6 then 7-10 until a counterexample fell out - directed, incremental human search using the model as the search executor. Not one-shot, not an autonomous harness; a third category of human-in-the-loop iteration.",https://arxiv.org/abs/2607.02208
wow-284-refuted,"Written on the Wall II, Conjecture 284",Combinatorics,Graph Theory (automated conjecture),,2026-07-29,ChatGPT-5.6 Sol Pro,OpenAI,ai-assisted,construction,unreviewed,unreviewed-construction/computation,mentioned-not-tiered,no-signal,,5,disproved,preprint,,,,,https://arxiv.org/abs/2607.27452
wow-conjecture-103,"Written on the Wall II, Graph Conjecture 103",Combinatorics,Graph invariants,1996,2026-07-22,ChatGPT + Codex,OpenAI,ai-discovered,computation,lean-verified,lean,tiered-lean-verified,harness-signal,,5,disproved,announcement,enumerat,,,,https://github.com/google-deepmind/formal-conjectures/pull/4482
wow-conjecture-109,"Written on the Wall II, Graph Conjecture 109",Combinatorics,Graph invariants,1996,2026-07-28,GPT-5.6 Sol Max (Codex),OpenAI,ai-discovered,construction,lean-verified,lean,tiered-lean-verified,harness-signal,,5,disproved,announcement,enumerat,,,,https://github.com/google-deepmind/formal-conjectures
wow-conjecture-143,"Written on the Wall II, Graph Conjecture 143",Combinatorics,Graph invariants,1996,2026-07-21,GPT-5.6 Thinking,OpenAI,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,5,proved,announcement,,,,,https://github.com/google-deepmind/formal-conjectures
wow-graph-conjecture-2,"Written on the Wall II, Graph Conjecture 2",Combinatorics,Extremal graph theory,1996,2026-05-21,AlphaProof Nexus,Google DeepMind,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,harness-signal,,5,proved,preprint,autonomous,,,,https://arxiv.org/abs/2605.22763
zero-forcing-versus-independence,Zero Forcing versus Independence in Subcubic Graphs,Combinatorics,Graph theory,2017,2026-07-26,Claude Opus 5,Anthropic,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,5,disproved,preprint,search,,,,https://arxiv.org/abs/2607.23664
carrasco-conjecture-ozf,Carrasco's Conjecture on the O'Shea-Zames-Falb Test,Differential equations,Control theory,,2026-07-26,ChatGPT 5.5,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,15,disproved,preprint,,,,,https://arxiv.org/abs/2607.23599
curto-minimal-fixed-points,Curto et al.'s Minimality Conjecture for Threshold-Linear Networks,Differential equations,Mathematical neuroscience,2024,2025-10-26,GPT-5,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,8,disproved,preprint,,,,,https://arxiv.org/abs/2511.05517
vlasov-maxwell-landau-equilibria,Equilibria of the Vlasov-Maxwell-Landau System,Differential equations,Kinetic PDE,2026,2026-03-16,"Gemini Deep Think, Claude Code, Aristotle",Google DeepMind / Anthropic / Harmonic,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,harness-signal,,4,proved,preprint,pipeline,,,,https://arxiv.org/abs/2603.15929
gaussian-kinetic-trace-question,Kinetic Trace Estimates in the Gaussian Model,Differential equations,Kinetic theory,2024,2026-07-27,"GPT-5.5 Pro, GPT-5.6 Sol",OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,10,disproved,preprint,,,,,https://arxiv.org/abs/2607.24708
lions-maximal-regularity-half-holder,Lions' Maximal Regularity Problem at the Half-Holder Endpoint,Differential equations,Evolution equations,1961,2026-08-11,GPT-5.5 Pro,OpenAI,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,25,disproved,preprint,,,,,https://arxiv.org/abs/2608.11194
curvature-smoothing-flame-speed,Monotone Slowdown of Turbulent Flame Speed under Curvature,Differential equations,Partial differential equations,2018,2026-07-28,ChatGPT 5.5 Plus,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,15,disproved,preprint,search,,,,https://arxiv.org/abs/2607.25185
viscous-hj-sharp-rates,Sharp Convergence Rates for Viscous Hamilton-Jacobi Homogenization,Differential equations,PDE homogenization,,2026-04-21,ChatGPT,OpenAI,ai-assisted,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,10,proved,preprint,,,,,https://arxiv.org/abs/2604.19948
homogeneous-polynomial-lyapunov-conjecture,The Homogeneous Polynomial Lyapunov Converse Conjecture,Differential equations,Control theory,2011,2026-07-17,"GPT-5.6-Sol Pro, Codex (GPT-5.6-Sol Ultra)",OpenAI,ai-discovered,construction,unreviewed,unreviewed-construction/computation,mentioned-not-tiered,no-signal,,15,disproved,preprint,,,,,https://arxiv.org/abs/2607.16171
jauslin-kreiss-moser-vanishing-viscosity,The Jauslin-Kreiss-Moser Vanishing-Viscosity Selection Problem,Differential equations,Hamilton-Jacobi equations,1999,2026-05-11,ChatGPT,OpenAI,ai-assisted,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,20,disproved,preprint,,,,,https://arxiv.org/abs/2605.10478
bellman-lost-in-forest-golden-gnomon,Bellman's Lost-in-a-Forest Problem for the Golden Gnomon,Geometry & topology,Convex geometry,1956,2026-07-27,"Claude Fable 5, GPT-5.6 Sol, Claude Opus 5",Anthropic / OpenAI,ai-discovered,argument,unreviewed,unreviewed-argument,mentioned-not-tiered,harness-signal,,30,proved,preprint,search,,,,https://arxiv.org/abs/2607.24483
chen-gendron-spin-parity,Chen-Gendron Spin-Parity Identity for k-Differentials,Geometry & topology,Flat surfaces & moduli,2022,2026-02-03,AxiomProver,,ai-discovered,argument,lean-checked,lean,tiered-lean-checked,no-signal,,10,proved,preprint,,,,,https://arxiv.org/abs/2602.03722
atom-centered-descriptor-completeness,Completeness of Fixed-Order Atom-Centered Descriptors,Geometry & topology,Invariants of point configurations,2020,2026-07-29,"Claude Opus 4.8 and Fable, Codex 5.5 and Sol 5.6",,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,15,disproved,preprint,agent; iteration,,,,https://arxiv.org/abs/2607.26984
odd-dimensional-rank-bound-counterexample,Counterexample to the Odd-Dimensional Rank Bound for Abelian p-Group Actions,Geometry & topology,"Algebraic Geometry, Calabi–Yau Varieties",,2026-07-06,ChatGPT 5.5 Pro + Danus,,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,15,disproved,preprint,agent,,,,https://arxiv.org/abs/2607.04891
unit-distance-independence-ratio,Erdos's Question on the Independence Ratio of Unit-Distance Graphs,Geometry & topology,Combinatorial geometry,,2026-06-26,"ChatGPT, Codex (GPT-5.5)",OpenAI,ai-assisted,computation,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,20,proved,preprint,search,,,,https://arxiv.org/abs/2606.28157
erdos-1089,Erdős Problem #1089,Geometry & topology,"Geometry, Distances",1975,2026-02-01,Aletheia,,ai-discovered,argument,site-confirmed,site-reproduced,no-mention,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/1089
erdos-659,Erdős Problem #659,Geometry & topology,"Geometry, Distances",1997,2026-01-13,"Gemini 3, Aletheia",,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/659
erdos-846,Erdős Problem #846,Geometry & topology,Geometry,1992,2026-02-25,DeepMind prover agent; OpenAI internal model (independently),,ai-discovered,construction,lean-verified,lean,tiered-lean-verified,no-signal,,10,disproved,announcement,,,,,https://www.erdosproblems.com/846
erdos-960,Erdős Problem #960,Geometry & topology,Geometry,1984,2026-04-09,OpenAI internal model,,ai-discovered,construction,site-confirmed,site-reproduced,no-mention,no-signal,,10,disproved,announcement,,,,,https://www.erdosproblems.com/960
erdos-planar-unit-distance,Erdős's Planar Unit Distance Conjecture,Geometry & topology,Combinatorial Geometry,1946,2026-05,OpenAI frontier model (specific version not disclosed),OpenAI,ai-co-developed,construction,expert-verified,expert-checked-construction,no-mention,no-signal,harness-signal-thin,40,disproved,announcement,,,,"""Model-assisted construction"" beating the conjectured n^1.014 bound; model version not disclosed. Likely the same underlying event as OpenAI's May 2026 Erdos unit-distance disproof already tracked on the deck's Knowledge Frontier slide (OVERSOLD row) - cross-reference, don't treat as a separate discovery.",https://arxiv.org/abs/2605.20695
han-jiang-klt-openness,Han and Jiang's Question on klt Type in Flat Families,Geometry & topology,Birational geometry,,2026-05-21,ChatGPT Pro 5.5 and Rethlas,,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,20,disproved,preprint,,,,,https://arxiv.org/abs/2605.22250
iris-conjecture-6-1,IRIS Conjecture 6.1 on Simple 3-Polytopes,Geometry & topology,Polyhedral combinatorics,,2026-06-11,Demonstrandum multi-agent pipeline,,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,5,disproved,announcement,agent; pipeline,,,,https://github.com/demonstrandum-research/artifacts
k-polystable-toric-fano-small-alpha,K-Polystable Toric Fano Varieties With Small Alpha Invariants,Geometry & topology,"Algebraic Geometry, K-Stability",,2026-07-04,ChatGPT 5.5 Pro + Danus,,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,15,proved,preprint,agent,,,,https://arxiv.org/abs/2607.04005
kls-quadratic-forms,KLS Conjecture for Quadratic Forms,Geometry & topology,Asymptotic convex geometry,1995,2026-07-27,ChatGPT-5.6 Pro,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,iterative-human-guided,45,proved,preprint,,,,"""Developed in collaboration with"" the model, checked by the author - collaborative dialogue framing, not explicit one-shot or explicit harness.",https://arxiv.org/abs/2607.24164
kirby-5-16-dga-undecidability,Kirby Problem 5.16 for Noncommutative Semifree DGAs,Geometry & topology,Decision problems in topology,,2026-04-28,Aletheia (Gemini Deep Think),Google DeepMind,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,20,disproved,preprint,agent; autonomous; search,,,,https://arxiv.org/abs/2605.08122
kollar-kovacs-fiber-cohomology,Kollár and Kovács's Question on Cohomology of Fibers,Geometry & topology,Algebraic geometry,,2026-05-20,ChatGPT 5.5 Pro and Rethlas,,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,20,disproved,preprint,,,,,https://arxiv.org/abs/2605.20585
kontsevich-strata-asphericity,Kontsevich's Asphericity Conjecture for Strata of Differentials,Geometry & topology,Teichmuller theory,,2026-06-23,ChatGPT 5.5 Plus,OpenAI,ai-assisted,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,25,disproved,preprint,,,,,https://arxiv.org/abs/2606.24135
kuperberg-six-cylinder,Kuperberg's Six-Cylinder Conjecture,Geometry & topology,Discrete geometry,1990,2026-07-27,Claude (version not disclosed),Anthropic,ai-co-developed,computation,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,20,proved,preprint,,,,,https://arxiv.org/abs/2607.24691
kusner-conjecture-equilateral-sets-counterexample,Kusner's Conjecture on Equilateral Sets in $\ell_p^n$,Geometry & topology,Discrete geometry,1983,2026-08-14,"GPT-5.6 Sol, Claude Fable 5","OpenAI, Anthropic",ai-assisted,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,30,disproved,preprint,search,,,,https://arxiv.org/abs/2608.14013
